A00;Choléra
Y69;Accident et complication au cours d'un acte médical et chirurgical,
Y70;Appareils d'anesthésiologie, associés à des accidents
Y71;Appareils cardiovasculaires, associés à des accidents
Y72;Appareils oto-rhino-laryngologiques, associés à des accidents
Y73;Appareils utilisés en gastroentérologie et en urologie, associés à
Y74;Appareillage hospitalier et d'usage personnel, associé à des
Y75;Appareils utilisés en neurologie, associés à des accidents
Y76;Appareils utilisés en obstétrique et en gynécologie, associés à des
Y77;Appareils utilisés en ophtalmologie, associés à des accidents
Y78;Appareils utilisés en radiologie, associés à des accidents
Y79;Appareils orthopédiques, associés à des accidents
Y80;Appareils de médecine physique, associés à des accidents
Y81;Appareils utilisés en chirurgie générale et esthétique, associés à
Y82;Appareils associés à des accidents, autres et sans précision
Y83;Opération et autre acte chirurgical à l'origine de réactions
Y84;Autres actes médicaux à l'origine de réactions anormales du patient
Y85;Séquelles d'un accident de transport
Y86;Séquelles d'autres accidents
Y87;Séquelles d'une lésion auto-infligée, d'une agression ou d'un
Y88;Actes médicaux et chirurgicaux considérés comme cause externe de
Y89;Séquelles d'autres causes externes
Y90;Preuves du rôle de l'alcool confirmé par le taux d'alcoolémie
Y91;Preuves du rôle de l'alcool confirmé par le degré d'intoxication
Y95;Facteurs nosocomiaux
Y96;Facteurs liés aux conditions de travail
Y97;Facteurs liés à la pollution de l'environnement
Y98;Facteurs liés au mode de vie
Z00;Examen général et investigations de sujets ne se plaignant de rien
Z01;Autres examens spéciaux et investigations de sujets ne se plaignant
Z02;Examen médical et prise de contact à des fins administratives
Z03;Mise en observation et examen médical pour suspicion de maladies
Z04;Examen et mise en observation pour d'autres raisons
Z08;Examen de contrôle après traitement d'une tumeur maligne
Z09;Examen de contrôle après traitement d'affections autres que les
Z10;Examen général de routine d'une souspopulation définie
Z11;Examen spécial de dépistage de maladies infectieuses et parasitaires
Z12;Examen spécial de dépistage des tumeurs
Z13;Examen spécial de dépistage d'autres maladies et états pathologiques
Z20;Sujets en contact avec et exposés à des maladies transmissibles
Z21;Infection asymptomatique par le virus de l'immunodéficience humaine
Z22;Sujet porteur de germes responsables d'une maladie infectieuse
Z23;Nécessité d'une vaccination contre une seule maladie bactérienne
Z24;Nécessité d'une vaccination contre certaines maladies virales
Z25;Nécessité d'une vaccination contre d'autres maladies virales uniques
Z26;Nécessité d'une vaccination contre d'autres maladies infectieuses
Z27;Nécessité d'une vaccination associée contre plusieurs maladies
Z28;Vaccination non faite
Z29;Nécessité d'autres mesures prophylactiques
Z30;Prise en charge d'une contraception
Z31;Mesures procréatives
Z32;Examen et test de grossesse
Z33;Grossesse constatée fortuitement
Z34;Surveillance d'une grossesse normale
Z35;Surveillance d'une grossesse à haut risque
Z36;Dépistage prénatal
Z37;Résultat de l'accouchement
Z38;Enfants nés vivants, selon le lieu de naissance
Z39;Soins et examens du postpartum
Z40;Opération prophylactique
Z41;Thérapie sans raison médicale
Z42;Soins de contrôle comprenant une opération plastique
Z43;Surveillance de stomies
Z44;Mise en place et ajustement d'appareils de prothèse externe
Z45;Ajustement et entretien d'une prothèse interne
Z46;Mise en place et ajustement d'autres appareils
Z47;Autres soins de contrôle orthopédiques
Z48;Autres soins de contrôle chirurgicaux
Z49;Surveillance d'une dialyse
Z50;Soins impliquant une rééducation
Z51;Autres soins médicaux
Z52;Donneurs d'organes et de tissus
Z53;Sujets ayant recours aux services de santé pour des actes médicaux
Z54;Convalescence
Z55;Difficultés liées à l'éducation et l'alphabétisation
Z56;Difficultés liées à l'emploi et au chômage
Z57;Exposition professionnelle à des facteurs de risque
Z58;Difficultés liées à l'environnement physique
Z59;Difficultés liées au logement et aux conditions économiques
Z60;Difficultés liées à l'environnement social
Z61;Difficultés liées à une enfance malheureuse
Z62;Autres difficultés liées à l'éducation
Z63;Autres difficultés liées à l'entourage immédiat, y compris la
Z64;Difficultés liées à certaines situations psychosociales
Z65;Difficultés liées à d'autres situations psychosociales
Z70;Conseils relatifs aux attitudes, comportement et orientation en
Z71;Sujets en contact avec les services de santé pour d'autres conseils
Z72;Difficultés liées au mode de vie
Z73;Difficultés liées à l'orientation de son mode de vie
Z74;Difficultés liées à une dépendance envers la personne qui donne les
Z75;Difficultés liées aux installations médicales et autres soins de
Z76;Sujet ayant recours aux services de santé dans d'autres
Z80;Antécédents familiaux de tumeur maligne
Z81;Antécédents familiaux de troubles mentaux et du comportement
Z82;Antécédents familiaux de certaines incapacités et maladies
Z83;Antécédents familiaux d'autres maladies spécifiques
Z84;Antécédents familiaux d'autres affections
Z85;Antécédents personnels de tumeur maligne
Z86;Antécédents personnels de certaines autres maladies
Z87;Antécédents personnels d'autres maladies
Z88;Antécédents personnels d'allergie à des médicaments et des
Z89;Absence acquise d'un membre
Z90;Absence acquise d'organes, non classée ailleurs
Z91;Antécédents personnels de facteurs de risque, non classés ailleurs
Z92;Antécédents personnels de traitement médical
Z93;Stomies
Z94;Greffe d'organe et de tissu
Z95;Présence d'implants et de greffes cardiaques et vasculaires
Z96;Présence d'autres implants fonctionnels
Z97;Présence d'autres appareils
Z98;Autres états postchirurgicaux
Z99;Dépendance envers des machines et appareils auxiliaires, non classée
U04;Syndrome respiratoire aigu sévère [SRAS]
U06;Maladie due au virus Zika
U07;Usage urgent de U07
U82;Résistance aux antibiotiques bétalactamines [bétalactames]
U83;Résistance aux autres antibiotiques
U84;Résistance aux autres antimicrobiens
U85;Résistance aux médicaments antinéoplasiques
U90;Autres formes de pharmacorésistance
